#board, channel, active, ramp up rate (v/s), ramp down rate (v/s), voltage(V), Imax (uA), Current Over Time (ms)
     1,       1,      T,               50.0,                 50.0,     1200.0,     310.0,                     10
     1,       2,      T,               50.0,                 50.0,     1200.0,     310.0,                     10
     1,       3,      T,               50.0,                 50.0,     1200.0,     310.0,                     10
     1,       4,      T,               50.0,                 50.0,     1200.0,     310.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
     1,       5,      F,                0.0,                  0.0,        0.0,       0.0,                     10
