#board, channel, active, voltage(V), Imax (uA)
     1,       1,      T,     1200.0,       1.0
     1,       2,      T,     1200.0,       1.0
     1,       3,      T,     1200.0,       1.0
     1,       4,      T,     1200.0,       1.0
     1,       5,      F,        0.0,       0.0
     1,       6,      F,        0.0,       0.0
     1,       7,      F,        0.0,       0.0
     1,       8,      F,        0.0,       0.0
     1,       9,      F,        0.0,       0.0
     1,      10,      F,        0.0,       0.0
     1,      11,      F,        0.0,       0.0
     1,      12,      F,        0.0,       0.0
     1,      13,      F,        0.0,       0.0
     1,      14,      F,        0.0,       0.0
     1,      15,      F,        0.0,       0.0
     1,      16,      F,        0.0,       0.0

